Name,S7075 (9%)
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
100.000000,0.000000
99.811000,0.030000
99.262000,0.130000
98.384000,0.301000
97.189000,0.532000
95.689000,0.825000
93.906000,1.183000
91.865000,1.599000
89.590000,2.064000
87.105000,2.565000
84.435000,3.084000
81.590000,3.603000
78.585000,4.114000
75.438000,4.596000
72.152000,5.039000
68.736000,5.452000
65.213000,5.833000
61.605000,6.181000
57.936000,6.492000
54.228000,6.762000
50.502000,6.988000
46.782000,7.165000
43.086000,7.290000
39.436000,7.362000
35.853000,7.377000
32.355000,7.334000
28.961000,7.232000
25.690000,7.072000
22.556000,6.854000
19.578000,6.579000
16.769000,6.249000
14.143000,5.868000
11.714000,5.438000
9.490000,4.963000
7.485000,4.451000
5.704000,3.906000
4.155000,3.336000
2.846000,2.751000
1.783000,2.158000
0.974000,1.572000
0.426000,0.983000
0.112000,0.396000
0.012000,-0.127000
0.205000,-0.532000
0.740000,-0.861000
1.586000,-1.154000
2.736000,-1.403000
4.182000,-1.616000
5.915000,-1.785000
7.927000,-1.912000
10.208000,-1.997000
12.746000,-2.041000
15.527000,-2.049000
18.536000,-2.022000
21.756000,-1.965000
25.167000,-1.880000
28.749000,-1.774000
32.478000,-1.649000
36.331000,-1.510000
40.283000,-1.360000
44.306000,-1.205000
48.375000,-1.047000
52.460000,-0.889000
56.534000,-0.734000
60.568000,-0.584000
64.532000,-0.438000
68.397000,-0.291000
72.149000,-0.140000
75.769000,0.009000
79.235000,0.160000
82.543000,0.301000
85.679000,0.399000
88.582000,0.420000
91.190000,0.378000
93.478000,0.312000
95.435000,0.237000
97.053000,0.163000
98.322000,0.099000
99.243000,0.051000
99.808000,0.016000
100.000000,0.000000
,
Camber line,
X(mm),Y(mm)
0.112000,0.396000
0.426000,0.157548
0.974000,0.314979
1.783000,0.480673
2.846000,0.665898
4.155000,0.861989
5.704000,1.070788
7.485000,1.283450
9.490000,1.496378
11.714000,1.707446
14.143000,1.911491
16.769000,2.105572
19.578000,2.287723
22.556000,2.454468
25.690000,2.603738
28.961000,2.732553
32.355000,2.840438
35.853000,2.924878
39.436000,2.984926
43.086000,3.018998
46.782000,3.028072
50.502000,3.011634
54.228000,2.970133
57.936000,2.905066
61.605000,2.817597
65.213000,2.710450
68.736000,2.587322
72.152000,2.449562
75.438000,2.295688
78.585000,2.122841
81.590000,1.931690
84.435000,1.722063
87.105000,1.487158
89.590000,1.233883
91.865000,0.978764
93.906000,0.739299
95.689000,0.525192
97.189000,0.344071
98.384000,0.198384
99.262000,0.089912
99.811000,0.022875
100.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
100.000000,0.000000
